Date,Yahoo,Microsoft,Google,Facebook,Apple
2015-05-26,42.849998,46.59,532.320007,129.619995,129.619995
2015-05-22,43.490002,46.900002,540.109985,132.539993,132.539993
2015-05-21,43.68,47.419998,542.51001,131.389999,131.389999
2015-05-20,42.790001,47.580002,539.27002,130.059998,130.059998
2015-05-19,40.98,47.580002,537.359985,130.070007,130.070007
2015-05-18,44.360001,48.009998,532.299988,130.190002,130.190002
2015-05-15,44.75,48.299999,533.849976,128.770004,128.770004
2015-05-14,44.950001,48.720001,538.400024,128.949997,128.949997
2015-05-13,44.400002,47.630001,529.619995,126.010002,126.010002
2015-05-12,43.84,47.349998,529.039978,125.870003,125.870003
2015-05-11,43.599998,47.369999,535.700012,126.32,126.32
2015-05-08,44.09,47.75,538.219971,127.620003,127.620003
2015-05-07,43.869999,46.700001,530.700012,125.260002,125.260002
2015-05-06,41.66,46.279999,524.219971,125.010002,125.010002
2015-05-05,41.299999,47.599998,530.799988,125.800003,125.800003
2015-05-04,42.040001,48.240002,540.780029,128.699997,128.699997
2015-05-01,42.509998,48.66,537.900024,128.949997,128.949997
2015-04-30,42.57,48.639999,537.340027,125.150002,125.150002
2015-04-29,43.279999,49.060001,549.080017,128.639999,128.639999
2015-04-28,44.34,49.16,553.679993,130.559998,130.559998
2015-04-27,44.360001,48.029999,555.369995,132.649994,132.649994
2015-04-24,44.52,47.869999,565.062561,130.279999,130.279999
2015-04-23,43.700001,43.34,547.002472,129.669998,129.669998
2015-04-22,43.98,42.990002,539.367458,128.619995,128.619995
2015-04-21,44.490002,42.639999,533.972413,126.910004,126.910004
2015-04-20,44.66,42.91,535.382408,127.599998,127.599998
2015-04-17,44.450001,41.619999,524.052386,124.75,124.75
2015-04-16,45.779999,42.16,533.802391,126.169998,126.169998
2015-04-15,45.73,42.259998,532.532429,126.779999,126.779999
2015-04-14,45.529999,41.650002,530.392405,126.300003,126.300003
2015-04-13,44.77,41.759998,539.172466,126.849998,126.849998
2015-04-10,45.18,41.720001,540.012416,127.099998,127.099998
2015-04-09,45.630001,41.48,540.782472,126.559998,126.559998
2015-04-08,45.169998,41.419998,541.612446,125.599998,125.599998
2015-04-07,43.610001,41.529999,537.022404,126.010002,126.010002
2015-04-06,43.669998,41.549999,536.767432,127.349998,127.349998
2015-04-02,44.150002,40.290001,535.532417,125.32,125.32
2015-04-01,44.130001,40.720001,542.562439,124.25,124.25
2015-03-31,44.439999,40.66,548.002468,124.43,124.43
2015-03-30,44.950001,40.959999,552.032502,126.370003,126.370003
2015-03-27,45.099998,40.970001,548.342512,123.25,123.25
2015-03-26,44.470001,41.209999,555.172522,124.239998,124.239998
2015-03-25,44.200001,41.459999,558.787539,123.379997,123.379997
2015-03-24,44.419998,42.900002,570.192597,126.690002,126.690002
2015-03-23,44.720001,42.860001,558.81251,127.209999,127.209999
2015-03-20,45.040001,42.880001,560.362537,125.900002,125.900002
2015-03-19,44.98,42.290001,557.992512,127.50,127.50
2015-03-18,44.669998,42.50,559.502513,128.470001,128.470001
2015-03-17,43.790001,41.700001,550.842471,127.040001,127.040001
2015-03-16,43.509998,41.560001,554.512509,124.949997,124.949997
2015-03-13,42.869999,41.380001,547.322503,123.589996,123.589996
2015-03-12,42.950001,41.02,555.512505,124.449997,124.449997
2015-03-11,42.50,41.98,551.182515,122.239998,122.239998
2015-03-10,42.68,42.029999,555.012538,124.510002,124.510002
2015-03-09,42.98,42.849998,568.852557,127.139999,127.139999
2015-03-06,43.439999,42.360001,567.687558,126.599998,126.599998
2015-03-05,44.16,43.110001,575.332609,126.410004,126.410004
2015-03-04,43.990002,43.060001,573.372583,128.539993,128.539993
2015-03-03,42.619999,43.279999,573.64261,129.360001,129.360001
2015-03-02,44.110001,43.880001,571.342601,129.089996,129.089996
2015-02-27,44.279999,43.849998,558.402511,128.460007,128.460007
2015-02-26,44.450001,44.060001,555.482516,130.419998,130.419998
2015-02-25,44.43,43.990002,543.872489,128.789993,128.789993
2015-02-24,43.380001,44.09,536.092424,132.169998,132.169998
2015-02-23,43.529999,44.150002,531.912381,133.00,133.00
2015-02-20,44.110001,43.860001,538.952441,129.50,129.50
2015-02-19,44.369999,43.50,542.872432,128.449997,128.449997
2015-02-18,43.650002,43.529999,539.702422,128.720001,128.720001
2015-02-17,43.529999,43.580002,542.842443,127.830002,127.830002
2015-02-13,44.419998,43.869999,549.012501,127.080002,127.080002
2015-02-12,43.93,43.09,542.932472,126.459999,126.459999
