,Date,Yahoo,Microsoft,Google,Facebook,Apple
1059,2011-10-14,15.91,27.27,591.681015,30.60,421.999992
1058,2011-10-17,15.70,26.98,582.41097,29.589999,419.990013
1057,2011-10-18,15.47,27.309999,590.510994,30.11,422.239998
1056,2011-10-19,15.94,27.129999,580.700968,29.359999,398.619991
1055,2011-10-20,16.18,27.040001,583.670987,29.269999,395.310009
1054,2011-10-21,16.120001,27.16,590.491022,30.029999,392.870007
1053,2011-10-24,16.709999,27.190001,596.421013,30.899999,405.770008
1052,2011-10-25,16.24,26.809999,583.161025,30.19,397.770012
1051,2011-10-26,16.299999,26.59,586.310977,30.619999,400.60001
1050,2011-10-27,16.629999,27.25,598.670996,32.81,404.69001
1049,2011-10-28,16.559999,26.98,600.141027,32.439997,404.949989
1048,2011-10-31,15.64,26.629999,592.641022,31.459998,404.779999
1047,2011-11-01,14.93,25.99,578.651012,29.92,396.51001
1046,2011-11-02,15.10,26.01,584.820974,30.339998,397.410004
1045,2011-11-03,15.48,26.530001,597.501037,32.40,403.07
1044,2011-11-04,15.24,26.25,596.141037,32.40,400.240002
1043,2011-11-07,15.69,26.799999,608.331048,32.279998,399.730003
1042,2011-11-08,15.97,27.16,612.341024,32.969999,406.229992
1041,2011-11-09,15.92,26.200001,600.95106,27.899998,395.279995
1040,2011-11-10,15.95,26.280001,595.081046,25.239998,385.220005
1039,2011-11-11,16.27,26.91,608.35102,26.479999,384.619991
1038,2011-11-14,16.00,26.76,613.001022,25.459998,379.260002
1037,2011-11-15,15.93,26.74,616.561075,26.319998,388.829994
1036,2011-11-16,15.72,26.07,611.471075,25.819998,384.770008
1035,2011-11-17,15.34,25.540001,600.871049,25.149998,377.41
1034,2011-11-18,15.38,25.299999,594.881019,25.209999,374.94001
1033,2011-11-21,14.99,25.00,580.941,24.839998,369.009995
1032,2011-11-22,14.97,24.790001,580.000965,24.489999,376.510006
1031,2011-11-23,14.94,24.469999,570.110989,22.999999,366.990002
1030,2011-11-25,15.10,24.299999,563.000991,22.93,363.570004
1029,2011-11-28,15.35,24.870001,588.190986,23.34,376.12001
1028,2011-11-29,15.70,24.84,582.930979,23.299998,373.199997
1027,2011-11-30,15.71,25.58,599.391032,24.43,382.199989
1026,2011-12-01,16.23,25.280001,613.77105,24.719999,387.93
1025,2011-12-02,16.049999,25.219999,620.361038,24.669999,389.700001
1024,2011-12-05,15.89,25.700001,625.651065,25.629997,393.01001
1023,2011-12-06,15.84,25.66,623.771056,25.339998,390.949989
1022,2011-12-07,15.62,25.60,623.391096,25.539999,389.09
1021,2011-12-08,15.61,25.40,616.051052,25.02,390.659996
1020,2011-12-09,15.94,25.700001,627.421106,25.95,393.62001
1019,2011-12-12,15.47,25.51,625.391061,25.239998,391.839996
1018,2011-12-13,15.42,25.76,625.631093,24.929998,388.809994
1017,2011-12-14,15.02,25.59,618.07105,24.929998,380.19001
1016,2011-12-15,15.16,25.559999,619.54108,25.459998,378.939995
1015,2011-12-16,14.96,26.00,625.961061,25.929999,381.019989
1014,2011-12-19,14.62,25.530001,621.831069,24.999999,382.210003
1013,2011-12-20,15.11,26.030001,630.371091,26.49,395.949997
1012,2011-12-21,15.99,25.76,625.821073,25.669999,396.450008
1011,2011-12-22,16.00,25.809999,629.701108,26.19,398.550003
1010,2011-12-23,16.190001,26.030001,633.141084,26.479999,403.330006
1009,2011-12-27,16.09,26.040001,640.251081,24.10,406.529999
1008,2011-12-28,15.78,25.82,639.701114,23.759998,402.640003
1007,2011-12-29,16.129999,26.02,642.401081,23.679999,405.120007
1006,2011-12-30,16.129999,25.959999,645.901096,23.70,405.000004
1005,2012-01-03,16.290001,26.77,665.411118,24.52,411.23
1004,2012-01-04,15.78,27.40,668.281154,24.489999,413.44001
1003,2012-01-05,15.64,27.68,659.011109,24.309999,418.029995
1002,2012-01-06,15.52,28.110001,650.021102,23.53,422.400002
1001,2012-01-09,15.46,27.74,622.461047,23.369999,421.73
1000,2012-01-10,15.51,27.84,623.141078,24.409999,423.239994
999,2012-01-11,15.53,27.719999,625.961061,24.579999,422.549992
998,2012-01-12,15.66,28.00,629.641069,24.879998,421.389992
997,2012-01-13,15.48,28.25,624.991068,24.15,419.810009
996,2012-01-17,15.43,28.26,628.581079,24.69,424.700001
995,2012-01-18,15.92,28.23,632.911098,25.519998,429.110008
994,2012-01-19,16.120001,28.120001,639.571112,26.09,427.750004
993,2012-01-20,15.96,29.709999,585.990995,26.10,420.300007
992,2012-01-23,15.68,29.73,585.520977,26.290001,427.409996
991,2012-01-24,15.69,29.34,580.931014,26.09,420.409996
990,2012-01-25,15.56,29.559999,569.490997,26.319998,446.659996
989,2012-01-26,15.53,29.50,568.100977,26.029999,444.62999
988,2012-01-27,15.74,29.23,579.980993,26.18,447.28001
987,2012-01-30,15.55,29.610001,577.691005,25.929999,453.009995
986,2012-01-31,15.47,29.530001,580.110995,25.829998,456.47998
985,2012-02-01,15.73,29.889999,580.83097,27.189999,456.189987
984,2012-02-02,15.72,29.950001,585.110998,27.26,455.120003
983,2012-02-03,15.92,30.24,596.331016,28.069997,459.68
982,2012-02-06,15.82,30.200001,609.091029,27.45,463.969978
981,2012-02-07,15.83,30.35,606.771021,26.479999,468.830009
980,2012-02-08,15.78,30.66,609.85107,31.389999,476.680016
979,2012-02-09,16.00,30.77,611.461028,32.939998,493.170006
978,2012-02-10,16.139999,30.50,605.911058,32.469999,493.419998
977,2012-02-13,16.120001,30.58,612.201036,32.369998,502.600021
976,2012-02-14,15.37,30.25,609.761073,32.599996,509.459991
975,2012-02-15,15.12,30.049999,605.561056,32.969999,497.669975
974,2012-02-16,15.36,31.290001,606.521064,33.259998,502.209999
